Test Complete : 29679   [0.047161s]      @ 629.309273KN/s

Test Complete : 22579   [0.041033s]      @ 550.270201KN/s

Test Complete : 28662   [0.045274s]      @ 633.081007KN/s

Test Complete : 41874   [0.064961s]      @ 644.606333KN/s

Test Complete : 29679   [0.046696s]      @ 635.576873KN/s

Test Complete : 41874   [0.065141s]      @ 642.820967KN/s

Test Complete : 29679   [0.048127s]      @ 616.676470KN/s

Test Complete : 55338   [0.084506s]      @ 654.837520KN/s

Test Complete : 55338   [0.083828s]      @ 660.134424KN/s

Test Complete : 199002  [0.301084s]      @ 660.951102KN/s

Test Complete : 41874   [0.065567s]      @ 638.643856KN/s

Test Complete : 29679   [0.047358s]      @ 626.695889KN/s

Test Complete : 41874   [0.065576s]      @ 638.558318KN/s

Test Complete : 29679   [0.046822s]      @ 633.868938KN/s

Test Complete : 55338   [0.083466s]      @ 662.997318KN/s

Test Complete : 55338   [0.083513s]      @ 662.626645KN/s

Test Complete : 199002  [0.293161s]      @ 678.815352KN/s

Test Complete : 1030499         [1.722825s]      @ 598.144935KN/s

Test Complete : 37665329        [64.937306s]     @ 580.026052KN/s

Test Complete : 28859283        [54.985272s]     @ 524.854785KN/s

Test Complete : 71179139        [131.794354s]    @ 540.077301KN/s

Test Complete : 1030499         [1.766101s]      @ 583.488230KN/s

Test Complete : 37665329        [64.788634s]     @ 581.357047KN/s

Test Complete : 28859283        [57.130710s]     @ 505.144835KN/s

Test Complete : 71179139        [133.847570s]    @ 531.792538KN/s
terminate called after throwing an instance of 'std::out_of_range'
  what():  stoi
[1]    26230 abort (core dumped)  ./build/dexter

5h 12m 43s
